"","text"
"857","plain jane hotel cow hollow received good reviews thought try plain hotel amenites lobby just office parking garage concierge totally hotel room bathroom large coffee maker fridge brought pizza night saved piece breakfast covered ants morning yuk price reasonable nicer hotel union square parking free stayed picked rental car explore redwoods sausilito area north golden gate floor really second entire floor parking garage traffic verry loud t woke times night liked area better downtown reminded bit left bank paris lots tiny little restaurants shops bigger stores san fran stay marina district like atmosphere best dont think stay cow hollow "
"858","great bang buck wever going cow hollow years great location marina lombard block chestnut blocks union street literally dozens good restaurants comfortable walking distance important prices reasonable eg king bed large room plus tax free parkingmy wife usually reserve twobedroom suite couple total great place entertain san francisco suite expansive livingdinning area kitchen smaller size adequate wine snacks dinner entertaining going number years bad experience prefer type neighborhood hotel location pricing enjoy "
"859","cow hollow run downrude desk stayed cow hollow years past years really gone hill service desk horrible just right rude ask specific backside room king etc say honor time ignoredalso street noise increasingly horrible noise machine help timei looking trip bad used better job rooms rundown desks lamps bathtubs stoppers price good worth tired exasperated trip "
"860","moovvve cow hollow motor inn suites sfca sfca years ago decided stay place stayed discover place gone downhill wanted stay presidio area sf best city opinion went local aaa office asked clean comfortable importantly affordable motelinn immediate area gave cow hollow chelsea inn area owned company walked cow hollow guess wicked kool say disappointed stay saved large stay cow hollow motor inn suites rooms clean spacious price reasonable sf thought highly recommend suggest wanting clean comfortable stay trendy sfca lookup cow hollow sister hotels napa wine country awesome guys thanks sf great "
"861","amazing place amazing location amazing food place great super friendly staff able nicer room view second day marginally higher rate extra view nt great nt worry ca nt beat location best restaurants eaten street including famous diner corner lombard steiner great experience stay "
"862","clean good value problem stayed cow hollow nights nights went yosemite nights price reasonable especially free parking room clean free wireless internet complained noise room facing lombard bothered noise come quiet town used traffic sounds liked location felt safe lots places eat nearby liked bay watch door breakfast walked fisherman wharf long walk doableour problem night toilet clogged husband called desk asked send plunger fix told nt plunger available wanted come fix clog stay hotel expect plumbing work nt certainly nt expect fix late just easier plunge toilet argue desk incident certainly lowered overall opinion cow hollowthat said stay "
"863","home away home stay cow hollow month home away home rooms fresh clean fantastic location heart marina district highly recommend hotel looking great value location "
"864","oustanding place read hotel site decided chance glad normally stay marriot place great reviews decided try hotel exceptionally clean nicely appointed quiet asked room live country used city noise view nt great window hear room exactly wanted plenty parking nice welllit story basement garage nice clean laundermat right corner safeway easy walking blocks away buy hot dinners instead buying dinner restaurants saved ton money nice restaurant attached hotel open breakfast lunch quite reasonably priced wife felt safe walk curves blocks away starbucks walgreen pharmacy numerous restaurants small bars area hotel guests pleasant friendly hotel staff great place stay especially little money spent stay complaint guest services directory room nice compile hotel services area establishments say answered questions including best places park baseball game thanks cow hollow stretching funds allowing san francisco "
"865","good value great area wife spent nights cow hollow motor inn located lombard st great area close union street closer chestnut st marina district means walking district best restaurants mention boutiques shopslocation value key words paid night reasonable plain room good san francisco real amenities free parking unusual city parked rental car left buses lombard fishermans wharf union square room gave partial view golden gate view highlights trip walk bridge sausalito ferry actually bused bridge really walking distance hotelcow hollow motor inn fancy offers great base visit san francisco breaking budget "
"866","outstanding hotel recently stayed cow hollow visit san francisco good given low price night worried hotel located great area major american city armed excellent reviews friends family pleasantly surprised room faced lombard street clearly hear traffic outside nt awake minute long days sightseeing beautiful san francisco free parking real bonus especially flat city little intimidated san francisco topography location central located excellent bus routes recommend buying metro pass close great restaurants couple blocks union street great place afternoon beverage hot days tourists great breakfast place right hotel nice restaurants just corner overall definately visit hotel good oldfashioned value money major north american cities including "
"867","cow hollow motor hotel san francisco stayed second week augustthis hotel good option car comes free parking handy san francisco rooms tastefully decorated big confortable clean bathrooms overlooked lombard street nice view nt foggy opposite hotel mel diner great place breakfast style diner excellent cheap food area hotel interesting touristy nicest streets walk lombard street "
"868","love cow hollow cow hollow clean rooms spacious decorated quite nicely staff friendly location ca nt beat loved steps away type restaurant choose block bus stop walking distance attractions definitely recommend hotel stay time visited sf price ca nt beat "
"869","calla lily hotel diva great place daugther explore san francisco goal trip expand daugther art cultural horizons staff hotel diva trip david concierge quickly taught parallel park green jeep commander rental car try busy geary sorry san francico rental car left morning cheerfully patiently given great guidance explore fun city plane ready asked daughter calla lily drying intended use dried calla lily create gift son future bride calla lily chosen wedding flower said drying newspapers realized threw trash picked special lily bonita point lighhouse attempts veturing big green commander marin headlands look golden gate bridge called diva plane spoke assistant manager combed trash room weeks later received tact dried calla lily carefully secured long trip east daughter used create beautiful picture son new wife commemorate wedding day san francisco kind helpful return diva heart beat latino restaurant door wonderful used lounges alot nice provided printer thanks providing memorable time sf "
"870","nice affordable hotel near union square diva ideal hotel price location major complaints service room booked slightly larger rooms stay enjoyable couch table accompany standard hotel furniture kingsize bed referred furniture office properly just called urban contemporary liked bathroom bit small greatest sufficed tv channels nice large tv free internet location convenient bart union square shopping theaters artsy places restaurants larger conference hotels hilton area active bustling little gritty nothing worried guest overall recommend definitely plan stay need room downtown san francisco "
"871","bed sheets comforter nt want start wrong foot hotel nice place stay location great hotel little disapointed dvdvcr room second room card night table said save water polute air blah blah blah wash sheets unless request day guess didnt hit day like ok dont wash sheets bedding makes wonder bedspread comforter said ok liking bit stomach sort thing place bad "
"872","stylish gem classy place just union square geahry street great location great design great atmosphere real breakfast restaurant starbucks toprated mexican restaurant left right coffeeandtea equipped rooms available great stay classy ambience nice stopover san francisco "
"873","nice touches enjoyable stay hotel diva good choice wishing comfortable hotel character near union square room exceptionally clean modern decor furnishings nice touches ipod dock widescreen tv complimentary toiletries free internet stations dotted hotel welcome free coffee morning staff friendlythe negative aspect stay location room th floor overlooked dark alleyway thought lack natural light caused problems trying jetlag balanced lack noise wrong noise building work like sound smashing glass onwards highly irritating rooms avoidedoverall good stay "
"874","great location decent price boutique property excellent location union square easily accesible theaters public transportation restaurants prefer ultramodern decor rates moderate staff professional "
"875","absolutely fantastic amazing little book random hotel online site unseen know going time ended getting expected rooms modern beautiful decorated care grandma bed spreads staff friendly helpful attentive hotel central making easy spring point city hotel snob new san fran home hotel diva "
"876","stylish update older building heart union square stayed nights new year eve new year day location ideal heart union square saks th ave blocks away japantown brisk minute walk friendly hotel staff valet parking night hotel quirky older building bad thing deadend corridors ending fullheight windows looking street glass walls looking restaurantcommon areas personality hotel group added modern sleek look place blue elevator buttons stainless headboard peels away reveal wall artemide night table swing arm lamps simple modern shower fixtures add industrial chic shower strong room complimentary wireless filing drawer dresser writing desk swingarm flat screen tv bertoia diamond chairs room safe separate washsink area bathroom little small tiles looked like use cleaning grout bed comfortable room clean bathroom tilesgym small little depressingblinds pulled closed hide roof fans gym door probably used glass nt like working prison gymbusiness center nicei printed directions sonoma hotelthere starbucks attached lobby mexican restaurant try looked upscale overall nice stay older building decent modern updateshow got best rate new year eve jan st searching got best rate booking early diva website directly "
"877"," bad bad hotel starts seedy area rooms pretty nice amazing attempt modern nt quite tell want like w hotel quite nice area large number night rooms best "
"878","great place nice service took bart union square walked easy blocks hotel diva guys desk concierge humorous pleasant checked quickly checked early lobby sleek dark alternative music background flat screen tv playing movie asked room view suggested getting bigger room view glad nt really enjoy view sure view really appreciated space arrival pleased little ikea vibe kind reminded sons bedrooms smell whimsical different wanted place ordinary room bright cheerful different lobbby like time look saying oh look check headboard looks like silver wave notice mirror bend sure check surprise safe cute room bathroom squeaky clean water tap delicious room relatively quiet nt hear soul entire stay matter fact location great walking union square tons shops art galleries restaurants right door checkout wanted enjoy beautiful weather little heading home graciously held bags stayed night beat central valley heat certainly return "
"879","great stay diva feel said great hotel hip style great location right union square booked nights rate night friends locals sf nt believe deal right curan act theatres block square trolley wharf parts town loved decor staff feel important everytime came went doors impressed wonderful stay free internet lounges fitness room hard city buisness center diva lounge snacks drinks just wish stayed longer loved "
"880","stunning decor great staff stayed business sfo funky hotel decor match staff stunningtotally different experienced price great facilities excellent location brilliantwe "
"881","good value prices stay low got deal travelzoo stay diva weekend just night huge double room hd tv wireless perks precious business center prepare conference attenting constant internet access access printer staff amazingly kind location hard beathowever bed uncomfortable sheets cheap mind things think price reflected quality bedding warn potential visitors likely case hotel prices aside hotel way designed orange details silly artsy addons surely look dated years "
"882","nice staff treated nite hotel staying friends better air mattress right desk great helpful woman joking guy acted like knew forever nice irish guy able check quite early room gave looked escape moved floor quiet altho preferred looking geary st action room fine bathroom decent nice little package toiletries nothing wowed lobby small lounge unless count starbucks door constant playing divas video kind cheesy fine probably try hotel trip "
"883","great staff great service great location great hotel moment arrived diva feel extremley welcome great travelling hours room great loved attention thought little freebie safe bed comfortable touches lcd tv welcome really easy relax room exploring citythe bathroom spotlessly clean fact maids fantastic job day making room spotless smell fresh linen walk tiring day greatthe location perfect near tenderloin perfectly safe felt comfortable walking hotel dark union sq right doorstep experienced trouble noise odd siren expect right heart city hotel facet design comfort thought far personal chain hotelall like thank staff diva helpful friendly heartbeat "
"884","great introduction san francisco trip beautiful san francisco happy selected diva hotel recommended travel section local newspaper staff accommodating fact problem nd day shower reported promptly moved room floor bit larger original spacious accommodation beautiful young lady glasses location superb close union square shoppingshopping course sightseeing venuesi definitely return "
"885","lovely hotel great stay hotel diva staff really friendly rooms clean modern problem room sooo noisy sounded like generator outside window hotel know quite noisy told putting quiet hotel definately effect sleep ask stay different hotel timeapart hotel fabulous "
"886","good budget traveler budget want center city diva good place stay nothing fancy diva theme bit cheesy clean good jumpingoff point exploring city "
"887","hotel diva near union square hotel centrally located near union square hallidieplaza bart station edge skid row thetenderloin panhandlers derangedpeople street entrance area just southwest hotel horrible staff helpful pleasant moved abetter room complained noise original roomthe gym disappointment free vweights bench use themall look better place time sf "
"888","choice sf love high tech look service make come burnished steel indigo set tone rooms outstanding diva superstar desk dan exceptional remembering names faces better informed property concierge service restaurantsadvice average rate suite higher regular room extra room great really swank padthis rd stay looking forward returning soon "
"889","good deal inexpensive utilitarian hotel extremely clean comfortable staff polite helpful looking romantic luxury nt hotel convenience cleanliness economy really ca nt better "
"890","clean dream worth money search hard hotel night dream totally different design decor refreshing run big hotels room clean tidy received amenity room sales department excellent service desk helpful felt like dad checking definetely young corporate type felt young theremy son room liked dvd vending maching gym said gym better hotel takin im come main office "
"891","disappointed friend tried hotels sf excited try diva alluring website good reviews site compared hotels price range say diva falls short arrived hotel told upgraded reserved double instead got king bed corrected discount cot honestly think room got overall ambiance hotel warrant prices range room smallish tiny tiny bathroom smelled cigarette smoke nonsmoking floor desk personnel stiff slow forever make adjustment beds comfortable room faced geary noisy night heard lots ambulancestraffic nice touch colobri mexican restaurant door enjoyed margaritas guacamole chatting bartender hotel price cheaper gotten reserved satisfied decided return "
"892","diva friendly just returned staying days hotel diva highly recommend hotel friendliest hotels stayed ruth desk david concierge diva warm inviting place stay fellow coworkerswe upgraded king room bed comfortable great nights sleep daynight sight seeing partying room comfortable cable tv dvd player small bathroom ok plus room safe useful internet lounge floor th access time free really enjoyed room return day peaceful quiet hotel great location stones throw away shopping eating entertainment areas easy access bart f car check diva like hotels personality friendly inviting choose queen king room regret itspecial thanks ruth david stay "
"893","just nt impressed just completed night stay san francisco business original reasons decided stay diva frequent flier miles airline offering stay free wireless internet service offer rooms laptop internet nice convenient happy tons airline miles hotel left lot desired floors creak like nt believe neighbor takes shower sounds like loud freight train making impossibile sleep speaking mention morning gave unrequested wakeup saturday saturday morning able sleep screwed room entire hotel really strange odor really went away time tv far fewer channels practically hotel stayed beforethe excercise room okay nothing special needed treadmill stairmaster ca nt complain mentioned inroom wireless internet nice sure break bunch twice day running hour later inconvenience mention room pretty quiet creaky floors loud pipes gave room faced courtyard instead geary street heard really loud room facing street definitely mind decide stay herethe reason hotel dots instead free internet decent location hotel needs major overhaul seriously doubt stay matter miles airline offers "
"894","stay care hotel expecting cozy trendy room sadly disappointed tiny rundown room strange odor bed practically floor level afraid head pillow warmth room just bare necessities feel better place money mention mandatory valet parking "
"895","nice saw complaints hotel booked naturally worried got employees nice room ready immediatly extremely clean somewhat clean freek came topsheets yes rooms small little noisy hey san francisco stay recommend "
"896","diva different home divaa prima dona sense unique simplicity refreshing furniture design color choices soft lite colors reminding ocean furniture clear clean lines spacious roomi traveling thought wanted romantice weekend wanted avoid clutter frills choose diva sensuous modern way room quiet inside room liked sink mirror room dry hair steam shower going bed traveling like light bathroom diva noticed long white cylinder corner room lamp column light dimmed level sweet nite lite woman traveling perfect hotel staff friendly helpfulgreat location promptly called shuttle oakland airport hotel attached starbucks coffe morning meeting easy decor choose live certainly refreshing thankyou refreshed buisness traveler "
"897","nice place stay stayed hotel milano oct room nice size pleasing decor comfortable bed main drawbacks carpets hallway nasty coffee makers rooms offer free breakfast coffee shops door street great pastries location great easy walking distance shopping restaurants catch cable cars visiting business rental car problems getting car valet parking separate occasions took minutes time second time waiting minutes decided just use public transportation bustrolleycable car easy use recommend wants save parking fee "
"898","nice small hotel nice hotel interesting barrestaurant ate good dinners bar room basically clean unfortunately arrival late sign lobby notes neighbors busy building later thursday evening bartender informed they„á„©„àe building new shopping center nice like shop malls door union shopping center blocks away sp block away party going hard pressed drag sightseeing museums walking distance asian art modern art natural science blocks away san fran hilly recommend rental car golden gate park away can„á„© taking public trans way parking steep plus tax bucks budget rooms got car someplace remote inquired went rental takes mins retrieve itnote arrive construction occurring make sure windows close air you„á„©„àe going wake early morning "
"899","pleasant boutique hotel convenient union square stopover san francisco way new zealand hotel rex hip hotels wanted bit character times bland offerings westinmarriottsheraton chains rex trick bonus convenient union square cable car fisherman wharfwe nt actually spend time hotel seeng friends visiting alcatraz saw bar lobby cosy welcomingthe room small perfectly formed quite comfortable furniture antiquey perpetuate clublike atmosphere beginning look slightly worn bathroom standardissue american hotel scary loos threatens wash away flushedgood value definitely recommended base seeing downtown san franciscoby way hotel convenient sears fine food wellknown restaurant bypassed hotel restaurant breakfast went instead "
"900","wonderful stay rex great stay hotel rex staff friendly helpful rooms clean comfortable especially enjoyed complimentary wine day hotel location fantastic close like sf free wifi lobby rooms nice bonus room rate excellentwould definitely stay hotel rex "
"901","quaint cozy excellent location like european hotel elevator tiny room small clean sf want stay room quiet view excellent location blocks chinatown block union square staff nice helpful want ice bring room advantage complimentary wine plenty cafes available walgreen street nice place staff wo nt break bank consider visit "
"902","rex rocks hotel rex cool hotel conveniently located san francisco great spot towners couoles want night away kids just hanging city hotel affordablypriced nt worry getting soaked vetry good experience end end hearily recommend hotel rex "
"903","great hotel good location nice rooms nicely decorated room comfortable bed wifi nice bar enjoy complimentary glass wine really nice hotel location great close union square lovely dinner aziza maroccan restaurant slanted door great went bike ride sausalito nice took boat good restaurants sf definately consider staying rex san francisco recommend friends "
"904","little gem super location went san francisco lone traveller travel agent assured like hotel enjoy going big chain normally dothe hotel clean comfortable safe secure way making feel welcome home standards high room clean bed comfortable business centre free excellent internet access say excellent value money staff friendly extremely helpful felt like family business genuine thing let caf‚è‚ë„Ñ breakfast time need extra staff clear tables bring food wait minutes seated tables just needed cleared staff apologetic quick insidei grateful travel agent right heart things easily able attractions great places meet wonderful locals "
"905","love rex just returned days rex husband teenage son loved location near chinatown union square perfect exploring city room elegant large rear hotel location quiet staff helpful stay memorable highly recommended "
"906","favorite hotel san fran hotel rex known orchard place stay visit san francisco great europeanstyle hotel friendly attentive courteous staff cleanliness hotel convenience location city hotel years ago number choice san francisco love decor artsy fun rooms just right size feel comfortable home afternoon winetasting lovely addition restaurant room service fabulous convenience location nt better located right main trolley lines powell walking distance union square shopping financial district love hotel recommend highly stay "
"907","just ok just returned nt stay rex althought staff efficient courteous rooms small somewhat noisy street noise window airconditionersit centrally located shopping union square lacking amenities "
"908","romantic rex rex perfect hotel enjoy romantic anniversary staff described previous reviews truly excellent special room selected jazz music playing entered room gift card waiting acknowledge celebration hotel character individual rooms lovely bar lounge enjoy free glass wine evening stayed number sf hotels doubt best "
"909","wonderful hotel amazing staff ca nt beat location place right near shopping restaurants cable cars room small clean decorated cookiecutter hotel room style staff amazing really helpful friendly better service hotel noise streetfacing tired walking hills nt notice highly recommend hotel definitely stay "
"910","hotel rex great choice just returned night stay beautiful boutique hotel rex san francisco nt chosen better hotel location perfect hotel heart union square able catch cable car trolly bus block door hotelfrom moment reservations staff exceptional individual staff member treated guests hotel extremely attentive courtious way make sure happy hotel immaculate rooms spacious extremely comfortable tastefully decorated quietwe happy ended choosing hotel rex opposed bigger stuffier hotels city head san francisco surely stay hotel rex "
"911","great union square boutique hotel stayed rex times year suited business pleasure travel decor hotel literary salon lobbybar area welcoming complimentary wine served evening food bar adjoining restaurant good especially pretheater meals hotel staff warm professional rooms small nicely decorated insulated noise adjacent rooms union square just block half away nearest bart station blocks awaysay hi dave bar try signature drink rexmopolitan "
"912","friendly hotel great location great hotel great location just union square friendly staff clean pleasantly decorated rooms room good size quite small boutique hotel feeling liked free wine hour pm pm day nt try near lots shops restaurants cable cars block away lots transport including bart airport streetcar fishermans wharf short walk away "
"913","great place service issue overall happy room price clean pleasant located day checking asked desk order taxi airport said sure tells order city car taxi slightly cheaper asked turns price taxi caught hotel clearly guy deal going car firm said wanted taxi stage dismissed saying oh just outsidei needless it„á„© money it„á„© principle nt like lied enjoyable stay disappointing "
"914","sf home away home gone times charming boutique hotel say lovely welcoming hotels america like literary salon excellent wine bar restaurant room comfortable small large groups kept tip condition staff nt better recommend rex going san francisco visit conveniently located near union square square shopping theatre opportunities treat stay rex "
"915","rex rocks stayed family parent children hotel clean presented rooms nice decoration small sidebooked double double given bedded room night staff handled given free upgrade rest staygood location near powell cable cars union square shopswould suit couple better family nicer touches adult oriented art bar music room overall enjoyed stay return "
"916","great hotelclean friendly staff took husband san francisco th birthday booked hotel rex reading good reviews trip advisor disappointed staff helpful friendly wine served evening reception good morning coffee delicious room spacious clean hotel location served wonderful trip definitely stay return sf future trips certainly check sister hotels "
"917","hidden gem came town business expecting usual boy surprised staff knew nd day friendly help directions great neighborhood restaurant rooms clean beautifully decorated reminded home come "
"918","rex great san francisco great place stay san francisco especially love restored hotels eclectic sense decorating friendly members staff quick respond questions knowledgeable city room service breakfast perfect way yummy cinnamon roll french toast hot coffee delightful prompt servicewe tickets production curran theater hotel just minutes walking distance hotela neat spot professional way "
"919","great room location service price recently stayed week march th loved hotel rex queen room cozy comfortable booked trip travelocity given larger quiter rooms checkin location amazing nt car trip san francisco relying public transportation nt better hotel bus cablecar stops needed museums zoo exploratorium short blocks away bart station downhill blocks fairly easy catch cablecar uphill wanted way cablecar stop right corner street hotel rex opted walk home cheesecake factory way hotel rex quiet heard hotel guests outside noise occassional emergency vehicle maybe entire stay finally best map san francisco bought free map provided checkin desk definitely stay great note definitely recommend san francisco muni pass unlimited bus cablecar bart rides citypass plus admission san francisco attractions saved bundle super convenient "
"920","super hotel great club atmosphere recently stayed hotel rex mar nervous finding good hotel pan pacific changed hands year wanted new best hotel san francisco visitsany minor problems resolved quickly pleasant stay hotel rex great hotel staff great especially people checked rhenan room general d‚è‚ë„Ñcor super clean service great hotel rex exceeded expectationswe definitely recommend hotel rex friends know looking good hotel san francisco "
"921","san francisco charm stay san francisco frequently business tried joie vivre hotels love old world charm elegance rex great small staff knows conviences needed ie restaurant lobby bar internet large clean rooms welcoming staff right corner union square stay want charm old san francisco "
"922","hotel rex hotel rex nice place small rooms average best bathrooms small leaky showers location makes attractive staff average best "
"923","happy customer rex proved great choice location great staff helpful bed super comfortable checked queen room turned handicap accessible asked room available shower head standard height moved nice king room decor room lobby newer nice plan waiting elevator upper floor slow small big dealsteps cable cars couple blocks union square china townwe loved rex "
"924","great customer service helpful friendly staff stayed hotel rex rooms clean neat hotel staff friendly helpful provide exceptional customer service bathrooms nice size bedroom good size tv small drawback soft bed linens location perfect close hotel good deal purchased buy nights rd night free recommend staying "
"925","great hotel value husband stayed hotel rex thanksgiving chose hotel large great reviews got tripadvisor disappoint location beat short blocks union square couple blocks chinatown sorts public transportation just short walk staff friendly room cute comforter little dirty sheets clean importantly room quiet husband light sleeper major plus daily wine reception fun lot guests attend loved definitely "
"926","fantastic location decor little tired room slightly small service excellent staff central location staff welcoming extremely helpful bar buzzy tasty snacks nt eat restaurant hundreds restaurants close great bar left hotel busy nights frequented locals conversation tourists try cafe claude dinner mins walk away class food service reasonable prices "
"927"," points points hotel lot people learn little bit hotel hospitality information needed provided frond desk lot great facilities bar internet studio art gallery renovation elevators letter appologising signed gm know time going hotel personal minibar wine reception bar free u lot travellers nice conversations "
"928","curate egg accepting centrally located elderly hotels san francisco going operate space constraints hotel huge problem small elevator actually used room service maids share ride virtually needs come hotelthe location means daylight premium hotel general lack direct light amplified earthy coloured decor presumably style sought particularly pronounced stairs natural light artificial light overly bright laid brown striped carpet makes difficult edge stair tread elevator problem making recourse stairs descent floors frequent usual occurrence particular care takenthe room whilst generously proportioned quiet lacked daylight brightly lit artificially bit depressing bathroom shower good old building lack coffee tea making facilities helpful particularly bar served dreadful coffee nt dare ask tea helpful overly commission motivated help cases location good "
"929","hotel rex highly recommended stayed hotel rex pleasantly surprised hotel uniquely different gaudy flashy vegasstyle chain hotels hotel represented way regarded san francisco afar intimate romantic character charm hotel restaurant called cafe andree revelation food consistently magnificent breakfast lunch dinner favorites grilled ribeye steak grilled halibut crabcakes dulce leche creme brulee presentation flavor superb ambiance intimate safe regard hotel rex san francisco nook away maddening crowd "
"930","home away home hotel rex far best hotel san francisco attended conference chose hotel rex home away home week need great concierge ask bien definitely best concierge far hospitality professionalism free wine night library bar nice staff nice helpful agree end stay hotel rex excellent home away home sallie leewermeridian ms "
"931","great boutique hotel looking small moderately priced hotel heart san francisco comparable staying good friends recommend rex service pleasant smile food drink fine free wine happy hour oh yes forgot art work tasteful fun "
"932","tripasaurus rex wife daughter longstanding tradition visiting san francisco days shopping theater eating holiday pleasure just christmas live miles city quite familiar hotels restaurants tradition large suite bigger union street hotels hyatt st francis cliff year decided stay rex smaller eurostyle french owned hotel artsliterature spin algonquin nyc venerable literarti haunt wow great place location perfect sight street act theater valet parking reasonable efficient san francisco room cool daughter college student gasped entering declared soooo like place stayed bologna cool correct ambiance significant price difference bologna room rate times cost rex rex equalled terms sophisticated magazines literature chic art work decor color schemes staff attentive room service prompt food including onsite cafe andre terrific place dine grand complimentary wineapertif hour sat library comfortable room fireplace books lots friendly guests guests european chatted austrian woman french gentleman glass cabernet time departed theater group expanded exchanging email addresses nt expect amenities health club jacuzzi rex bud expect experience charm classic european star unless wed hiltons holiday inns hyatts howard johnsons love quaint sophisticated hotel br "
"933","great boutique hotel charming boutique hotel delightful moment arrival moment departure easy car used valet car whisked away duration stay hotel conveniently located walked hotel european feel good design elements color choices unusual elegant restful painted lampshades gave halls rooms whimsical feel room smallish crowded crushed feeling bath large vacant compared room interior building quiet view course views readily abundant city liked wine lobby evening lobby like private club nice inviting stay hotel rex fact hotel "
"934","good value money wife stayed weekend shopping trip city satisfied close union square shopping staff friendly helpful rooms good firm beds hot powerful showers like rooms sf quarters tight especially bathrooms caveat stayed room facing street night noise little disturbing night street repairs hotel control overall good choice especially considering price "
"935","wonderful place wonderful place stay staff friendly helpful location wonderful powell block away rooms clean turn service aveda toiletries wonderfull quiet quaint hotel love stay "
"936","dreadful stay phone work air conditioner work tv remote work smoking room bartender exceptionally rude waited hour room service food nasty drunk woman passed hallway making nicole desk unconcerned completely indifferent bright spot john concierge desk timely assistance great sense humor maid stay tolerable "
"937","rex place stay girlfriend just got stay rex live jazz free wine great amenities best place stay "
"938","rex king boutique hotels love rex staff desk restaurant friendly efficient family staying nights received personalized service hotels san francisco stayed high speed internet lobby great lobby bar character live jazz friday nights complaint white zone small parkanyway highly recommend boutique hotel best city "
"939","rex hotel king stayed rex times staff friendly capable pleasure deal great location edge union square theaters chinatown hills climb rex funky fun nt miss afternoon wine hour special feature suites floor accomodate guest bedroom living room quite large suite contains baths certainly adds comfort room computers printer rarely busy free "
"940","comfort night stay hotel rex exceeded expectations lowdown location perfect rex close theater district union square remote nt feel like tourist access cable cars buses great major downtown sights easy walk bart trains far nt mind walking blocks nt ton luggage recommend using bart rex airportatmosphere polished serene european feel minus attitude small immaculate room second floor completely silent absolutely view really nt care becase decor lovely fun nice size bathroom lucked window air conditioner sure rooms thisservice desk staff attentive hardworking cafe andree great food surprisingly low prices room service inexpensive business center convenient charge room promptly cleaned dayprice night booked rex website received voucher breakfast morning tickets asian art museum worth regretslastly mistaken chain owns rex maintains headquarters directly street hotel serves incentive hotel running smoothly sure working "
"941","charming hotel lovely staff charming hotel artsy interior located perfect town sightseeing staff extremely helpful responsive room lovely problem wall air conditioner nt work low setting fullon cold air blast room stuffy warm getting blasted cold air nt great comfy bed loads amenities definitely eat hotel cafe delicious highend fare incredibly reasonable prices loved stay come winter "
"942","hotel rex wonderful husband wed october th flew san francisco honeymoon thorough search perfect hotel complete kept coming hotel rex best choice disappointed desk helpful gave warm welcome helped planning daily excursions nightly wine tasting big list hotel night late getting afternoon gave complimentary glass winethe rooms quite plush turn service given evening room service exceptional try grasslands buger opportunity dine quaint bistro lobby complaint coffee maker room restaurant buy coffee morning think included stay beautifulalso booking line ca nt king size bed booked queen called rex upgrade took care wout glitchwe stay visiting beware picketers streets disgruntled hotel employees loudly picketing big hotels told smaller hotels contracts booking "
"943","colourful comfortable stayed nights september good central location clean room slightly slant good bathroom breakfast complementary comment fast free internet study room ground floor staff polite helpful recommended "
"944","literary gem just returned home stay hotel rex experience terrific staff professional attentive experienced hotel european literary feel great location just block half union square removed hubbub powell street wife plan make hotel rex base future trips san francisco "
"945","best deal san fran reviews read right money place fantastic clean nicely decorated staff nt friendlier nt stayed hotels san fran wo nt "
"946","great place business traveler comfortable convenient quiet love rex travel sf business stay time rooms comfortable just need traveling far home afford king suite enjoy extra room quieter hotel restaurant cafe andree excellent just eat lounge comfortable excellent wine list staff friendly knowledgeable way make stay comfortable possible drawback nt gym site purchase guest pass gym just doors "
"947","loved hotel rex recently stay sf business days referred hotel rex limo driver visiting sf previous trip checked web site especially liked comments quiet hotelupon stepping lobby immediately felt europe decor tastefully rooms comfortable especially bedi definately stay recommend friends coworkers "
"948","recently renovated hotel nice little hotel sutterpowell street union square area lori diner corner walgreens streetthe hotel recently completed renovation lobby brand new comfortable kiosks guests use free complimentary evening wine reception pm pm fresh cookies served daily passes club fitness center block away elevator hotel fairly quick morning free continental breakfast served coffeewater choice yogurt muffin scone available large tasteythe rooms smaller job beds comfortable flat screen tv nice feature nice cable channels free wifi available roomsbathrooms small clean signs aging include cracked tiles paint peels scuffed furniture pieces overall fine couple nightsno restaurant room service hotel plenty restaurants nearby check dotties true blue cafe best breakfast san francisco enjoy "
"949","great location great city shame renovations stayed cartwright nights hotel great location union square chinatown cable cars fishermans wharf ferry building california line got bart airport walked powell cases slight incline sutter like reviews rooms small north american standards tiny bathrooms clean bed comfy th floor nt hear construction noise lobby street noise night renovations lobby noisy dusty staff understandably best moods daytime reno work parts lobby sectioned plastic sheeting wine tasting evening meet guests stay rates good hotels check like chancellor orchardtips muni pass best deal town got day pass airport waiting cases ride cable car street car bus cable cars ride money day twoon sundays bus stops right outside cartwright sutter goes golden gate bridge went bridge bus got walked runs mins past hour sundays holidaysalso sundays golden gate park closed trafficwe went tours day shuttle bus tour booked ahead online hour tour gives good overview san francisco evening alcatraz tour booked online good pre book alcatrazfinally thinking hiring car driving monterey carmel opted tour supersightseeing tours bus driver herman entertaining plus knowledge nt gained information "
"950"," breakfast just returned home san francisco stayed cartwright hotel nights mentioned reviews rooms small clean staff helpful great location close cable cars chinatown union square chose hotel reviews menioned good breakfast buffet checking told longer served breakfast known chosen different hotel renovation complete walk workmen ladders smell paint strong lobby dust heavy times "
"951","fantastic stay husband stayed cartwright business meeting just come napa high expectations certainly met construction going really nt feel bothered loved wine hour evening sure hotel time location hotel perfect husband meeting tons shopping restaurant hopping wholeheartedly recommend cartwright hotel definitely plan coming "
